Concentration A,Concentration B,Concentration C
0.106,0.102,0.792
0.183,0.055,0.762
0.05,0.036,0.914
0.172,0.117,0.711
0.073,0.154,0.773
0.195,0.042,0.763
0.018,0.037,0.945
0.123,0.202,0.675
0.15,0.044,0.806
0.054,0.138,0.808
0.188,0.092,0.72
0.17,0.054,0.776
0.191,0.203,0.606
0.084,0.059,0.857
0.016,0.049,0.935
0.135,0.188,0.677
0.189,0.068,0.743
0.189,0.097,0.714
0.159,0.071,0.77
0.17,0.188,0.642
0.116,0.099,0.785
0.133,0.168,0.699
0.162,0.129,0.709
0.034,0.137,0.829
0.032,0.158,0.81
0.181,0.067,0.752
0.064,0.13,0.806
0.101,0.187,0.712
0.106,0.045,0.849
0.058,0.143,0.799
0.183,0.186,0.631
0.119,0.085,0.796
0.083,0.088,0.829
0.136,0.171,0.693
0.092,0.113,0.795
0.211,0.151,0.638
0.041,0.055,0.904
0.032,0.131,0.837
0.055,0.132,0.813
0.203,0.023,0.774
0.104,0.141,0.755
0.122,0.027,0.851
0.188,0.014,0.798
0.086,0.17,0.744
0.037,0.141,0.822
0.135,0.125,0.74
0.182,0.214,0.604
0.114,0.092,0.794
0.188,0.017,0.795
0.187,0.05,0.763
0.086,0.089,0.825
0.088,0.19,0.722
0.115,0.192,0.693
0.076,0.118,0.806
0.204,0.193,0.603
0.037,0.155,0.808
0.036,0.03,0.934
0.181,0.149,0.67
0.034,0.057,0.909
0.034,0.071,0.895
0.011,0.199,0.79
0.061,0.119,0.82
0.035,0.089,0.876
0.139,0.165,0.696
0.042,0.083,0.875
0.096,0.159,0.745
0.064,0.167,0.769
0.166,0.203,0.631
0.183,0.138,0.679
0.012,0.165,0.823
0.077,0.066,0.857
0.016,0.103,0.881
0.11,0.139,0.751
0.155,0.167,0.678
0.087,0.09,0.823
0.072,0.034,0.894
0.12,0.084,0.796
0.141,0.147,0.712
0.055,0.185,0.76
0.065,0.087,0.848
0.208,0.079,0.713
0.087,0.018,0.895
0.125,0.151,0.724
0.164,0.043,0.793
0.06,0.172,0.768
0.163,0.13,0.707
0.179,0.07,0.751
0.22,0.038,0.742
0.101,0.203,0.696
0.021,0.022,0.957
0.016,0.113,0.871
0.202,0.162,0.636
0.109,0.108,0.783
0.136,0.071,0.793
0.121,0.025,0.854
0.198,0.086,0.716
0.179,0.09,0.731
0.175,0.082,0.743
0.081,0.121,0.798
0.081,0.183,0.736
0.046,0.025,0.929
0.069,0.065,0.866
0.114,0.127,0.759
0.151,0.115,0.734
0.18,0.166,0.654
0.124,0.044,0.832
0.196,0.073,0.731
0.063,0.213,0.724
0.102,0.115,0.783
0.049,0.062,0.889
0.068,0.054,0.878
0.056,0.038,0.906
0.204,0.065,0.731
0.055,0.054,0.891
0.076,0.203,0.721
0.054,0.199,0.747
0.085,0.214,0.701
0.202,0.185,0.613
0.199,0.113,0.688
0.026,0.036,0.938
0.115,0.063,0.822
0.136,0.112,0.752
0.125,0.119,0.756
0.115,0.178,0.707
0.087,0.066,0.847
0.065,0.04,0.895
0.171,0.175,0.654
0.098,0.101,0.801
0.136,0.181,0.683
0.144,0.036,0.82
0.173,0.046,0.781
0.043,0.179,0.778
0.044,0.168,0.788
0.193,0.074,0.733
0.206,0.173,0.621
0.043,0.096,0.861
0.139,0.102,0.759
0.193,0.143,0.664
0.162,0.093,0.745
0.076,0.082,0.842
0.115,0.148,0.737
0.049,0.062,0.889
0.179,0.052,0.769
0.185,0.137,0.678
0.07,0.034,0.896
0.195,0.145,0.66
0.17,0.183,0.647
0.141,0.125,0.734
0.036,0.214,0.75
0.156,0.161,0.683
0.178,0.075,0.747
0.066,0.126,0.808
0.119,0.022,0.859
0.098,0.08,0.822
0.133,0.133,0.734
0.021,0.073,0.906
0.069,0.051,0.88
0.206,0.145,0.649
0.157,0.082,0.761
0.12,0.146,0.734
0.154,0.203,0.643
0.045,0.123,0.832
0.14,0.085,0.775
0.147,0.136,0.717
0.057,0.048,0.895
0.051,0.201,0.748
0.202,0.171,0.627
0.094,0.072,0.834
0.03,0.178,0.792
0.136,0.135,0.729
0.068,0.193,0.739
0.076,0.033,0.891
0.102,0.205,0.693
0.093,0.056,0.851
0.025,0.089,0.886
0.038,0.077,0.885
0.162,0.107,0.731
0.117,0.045,0.838
0.033,0.089,0.878
0.175,0.094,0.731
0.046,0.032,0.922
0.032,0.089,0.879
0.171,0.052,0.777
0.078,0.067,0.855
0.119,0.193,0.688
0.152,0.089,0.759
0.075,0.154,0.771
0.137,0.082,0.781
0.12,0.121,0.759
0.211,0.034,0.755
0.188,0.032,0.78
0.181,0.138,0.681
0.062,0.13,0.808
0.15,0.155,0.695
0.03,0.101,0.869
0.153,0.176,0.671
0.169,0.193,0.638
0.015,0.197,0.788
0.2,0.081,0.719
0.045,0.039,0.916
0.121,0.054,0.825
0.026,0.109,0.865
0.202,0.177,0.621
0.114,0.145,0.741
0.122,0.021,0.857
0.121,0.077,0.802
0.103,0.059,0.838
0.062,0.108,0.83
0.028,0.205,0.767
0.18,0.199,0.621
0.151,0.058,0.791
0.089,0.018,0.893
0.044,0.082,0.874
0.192,0.203,0.605
0.046,0.054,0.9
0.14,0.18,0.68
0.092,0.153,0.755
0.114,0.054,0.832
0.033,0.191,0.776
0.096,0.098,0.806
0.202,0.18,0.618
0.064,0.174,0.762
0.173,0.151,0.676
0.083,0.117,0.8
0.146,0.099,0.755
0.021,0.169,0.81
0.181,0.142,0.677
0.14,0.079,0.781
0.029,0.123,0.848
0.015,0.145,0.84
0.173,0.086,0.741
0.013,0.165,0.822
0.208,0.043,0.749
0.189,0.054,0.757
0.081,0.115,0.804
0.042,0.151,0.807
0.058,0.056,0.886
0.153,0.153,0.694
0.164,0.022,0.814
0.069,0.196,0.735
0.052,0.141,0.807
0.202,0.142,0.656
0.116,0.189,0.695
0.031,0.102,0.867
0.05,0.12,0.83
0.144,0.127,0.729
0.127,0.054,0.819
0.032,0.054,0.914
0.033,0.02,0.947
0.143,0.1,0.757
0.207,0.096,0.697
0.116,0.198,0.686
0.027,0.038,0.935
0.093,0.197,0.71
0.156,0.202,0.642
0.145,0.074,0.781
0.104,0.052,0.844
0.181,0.116,0.703
0.156,0.14,0.704
0.072,0.15,0.778
0.161,0.09,0.749
0.152,0.187,0.661
0.179,0.08,0.741
0.068,0.16,0.772
0.029,0.219,0.752
0.188,0.144,0.668
0.17,0.112,0.718
0.127,0.184,0.689
0.112,0.152,0.736
0.181,0.144,0.675
0.208,0.181,0.611
0.073,0.178,0.749
0.181,0.182,0.637
0.076,0.059,0.865
0.063,0.044,0.893
0.05,0.093,0.857
0.064,0.059,0.877
0.128,0.157,0.715
0.121,0.197,0.682
0.187,0.027,0.786
0.198,0.034,0.768
0.205,0.06,0.735
0.184,0.051,0.765
0.181,0.216,0.603
0.111,0.111,0.778
0.029,0.128,0.843
0.042,0.176,0.782
0.165,0.03,0.805
0.118,0.185,0.697
0.058,0.059,0.883
0.196,0.19,0.614
0.151,0.179,0.67
0.126,0.07,0.804
0.175,0.092,0.733
0.117,0.078,0.805
0.053,0.097,0.85
0.15,0.119,0.731
0.087,0.098,0.815
0.138,0.138,0.724
0.164,0.194,0.642
0.033,0.078,0.889
0.112,0.168,0.72
0.044,0.088,0.868
0.056,0.032,0.912
0.191,0.071,0.738
0.033,0.022,0.945
0.135,0.028,0.837
0.191,0.178,0.631
0.17,0.014,0.816
0.044,0.069,0.887
0.048,0.171,0.781
0.207,0.077,0.716
0.033,0.094,0.873
0.081,0.133,0.786
0.023,0.029,0.948
0.167,0.059,0.774
0.104,0.12,0.776
0.196,0.156,0.648
0.12,0.188,0.692
0.04,0.083,0.877
0.133,0.098,0.769
0.071,0.185,0.744
0.166,0.016,0.818
0.1,0.036,0.864
0.146,0.055,0.799
0.072,0.052,0.876
0.141,0.2,0.659
0.11,0.121,0.769
0.07,0.204,0.726
0.092,0.12,0.788
0.108,0.065,0.827
0.106,0.183,0.711
0.055,0.182,0.763
0.073,0.093,0.834
0.099,0.198,0.703
0.117,0.179,0.704
0.047,0.082,0.871
0.149,0.21,0.641
0.119,0.166,0.715
0.062,0.174,0.764
0.029,0.067,0.904
0.119,0.155,0.726
0.026,0.12,0.854
0.105,0.061,0.834
0.029,0.14,0.831
0.15,0.11,0.74
0.133,0.185,0.682
0.065,0.21,0.725
0.184,0.153,0.663
0.015,0.172,0.813
0.159,0.107,0.734
0.141,0.186,0.673
0.181,0.097,0.722
0.174,0.17,0.656
0.096,0.026,0.878
0.03,0.156,0.814
0.121,0.214,0.665
0.093,0.088,0.819
0.029,0.021,0.95
0.129,0.164,0.707
0.08,0.15,0.77
0.087,0.172,0.741
0.041,0.09,0.869
0.043,0.1,0.857
0.074,0.064,0.862
0.215,0.031,0.754
0.032,0.012,0.956
0.026,0.18,0.794
0.184,0.157,0.659
0.028,0.202,0.77
0.106,0.155,0.739
0.145,0.023,0.832
0.212,0.185,0.603
0.048,0.211,0.741
0.098,0.043,0.859
0.17,0.019,0.811
0.056,0.06,0.884
0.022,0.169,0.809
0.15,0.161,0.689
0.101,0.159,0.74
0.185,0.197,0.618
0.127,0.164,0.709
0.029,0.05,0.921
0.127,0.053,0.82
0.082,0.092,0.826
0.118,0.168,0.714
0.108,0.042,0.85
0.042,0.201,0.757
0.087,0.095,0.818
0.128,0.154,0.718
0.216,0.071,0.713
0.194,0.174,0.632
0.099,0.079,0.822
0.066,0.1,0.834
0.158,0.024,0.818
0.04,0.075,0.885
0.042,0.113,0.845
0.027,0.14,0.833
0.08,0.031,0.889
0.022,0.069,0.909
0.059,0.126,0.815
0.095,0.106,0.799
0.202,0.127,0.671
0.102,0.141,0.757
0.111,0.043,0.846
0.052,0.155,0.793
0.102,0.024,0.874
0.026,0.204,0.77
0.215,0.031,0.754
0.033,0.173,0.794
0.137,0.147,0.716
0.124,0.057,0.819
0.044,0.156,0.8
0.191,0.049,0.76
0.111,0.039,0.85
0.071,0.028,0.901
0.104,0.193,0.703
0.015,0.06,0.925
0.199,0.107,0.694
0.074,0.101,0.825
0.138,0.131,0.731
0.179,0.03,0.791
0.11,0.045,0.845
0.103,0.041,0.856
0.102,0.076,0.822
0.084,0.127,0.789
0.127,0.136,0.737
0.099,0.119,0.782
0.136,0.198,0.666
0.131,0.098,0.771
0.011,0.152,0.837
0.158,0.207,0.635
0.069,0.199,0.732
0.178,0.059,0.763
0.044,0.187,0.769
0.051,0.088,0.861
0.141,0.156,0.703
0.194,0.012,0.794
0.063,0.027,0.91
0.202,0.075,0.723
0.095,0.172,0.733
0.145,0.054,0.801
0.074,0.146,0.78
0.143,0.147,0.71
0.044,0.06,0.896
0.133,0.207,0.66
0.064,0.126,0.81
0.203,0.157,0.64
0.207,0.191,0.602
0.186,0.208,0.606
0.076,0.058,0.866
0.103,0.112,0.785
0.076,0.081,0.843
0.114,0.087,0.799
0.095,0.08,0.825
0.086,0.123,0.791
0.029,0.145,0.826
0.022,0.07,0.908
0.206,0.198,0.596
0.187,0.023,0.79
0.193,0.136,0.671
0.173,0.111,0.716
0.202,0.054,0.744
0.054,0.065,0.881
0.188,0.211,0.601
0.063,0.035,0.902
0.106,0.027,0.867
0.175,0.139,0.686
0.217,0.172,0.611
0.083,0.037,0.88
0.173,0.166,0.661
0.068,0.176,0.756
0.023,0.02,0.957
0.076,0.046,0.878
0.137,0.135,0.728
0.121,0.051,0.828
0.075,0.099,0.826
0.097,0.212,0.691
0.175,0.074,0.751
0.201,0.091,0.708
0.043,0.147,0.81
0.202,0.184,0.614
0.018,0.188,0.794
0.023,0.046,0.931
0.18,0.079,0.741
0.052,0.146,0.802
0.074,0.08,0.846
0.026,0.139,0.835
0.099,0.205,0.696
0.174,0.08,0.746
0.022,0.123,0.855
0.053,0.195,0.752
0.145,0.201,0.654
0.162,0.215,0.623
0.09,0.098,0.812
0.044,0.065,0.891
0.021,0.12,0.859
0.198,0.103,0.699
0.032,0.138,0.83
0.154,0.034,0.812
0.094,0.099,0.807
0.138,0.046,0.816
0.085,0.027,0.888
0.106,0.065,0.829
0.206,0.017,0.777
0.109,0.193,0.698
0.042,0.087,0.871
0.039,0.061,0.9
0.047,0.147,0.806
0.134,0.051,0.815
0.191,0.168,0.641
0.18,0.072,0.748
0.137,0.197,0.666
0.183,0.17,0.647
0.034,0.035,0.931
0.117,0.107,0.776
0.099,0.08,0.821
0.068,0.133,0.799
0.178,0.109,0.713
0.101,0.071,0.828
0.096,0.05,0.854
0.168,0.055,0.777
0.076,0.021,0.903
0.156,0.018,0.826
0.109,0.188,0.703
0.09,0.052,0.858
0.048,0.19,0.762
0.109,0.019,0.872
0.173,0.163,0.664
0.076,0.087,0.837
0.025,0.188,0.787
0.03,0.105,0.865
0.165,0.109,0.726
0.072,0.046,0.882
0.214,0.135,0.651
0.053,0.054,0.893
0.194,0.188,0.618
0.112,0.184,0.704
0.131,0.014,0.855
0.045,0.055,0.9
0.099,0.117,0.784
0.146,0.215,0.639
0.039,0.122,0.839
0.167,0.107,0.726
0.076,0.198,0.726
0.049,0.066,0.885
0.119,0.167,0.714
0.094,0.057,0.849
0.115,0.117,0.768
0.046,0.205,0.749
0.123,0.065,0.812
0.097,0.103,0.8
0.185,0.13,0.685
0.041,0.017,0.942
0.025,0.033,0.942
0.11,0.192,0.698
0.026,0.05,0.924
0.128,0.138,0.734
0.132,0.145,0.723
0.069,0.029,0.902
0.207,0.082,0.711
0.196,0.096,0.708
0.142,0.217,0.641
0.081,0.068,0.851
0.161,0.107,0.732
0.168,0.192,0.64
0.015,0.16,0.825
0.198,0.063,0.739
0.058,0.189,0.753
0.078,0.159,0.763
0.089,0.022,0.889
0.063,0.132,0.805
0.035,0.058,0.907
0.18,0.156,0.664
0.126,0.088,0.786
0.122,0.036,0.842
0.042,0.136,0.822
0.171,0.206,0.623
0.041,0.102,0.857
0.179,0.217,0.604
0.163,0.18,0.657
0.024,0.122,0.854
0.095,0.197,0.708
0.096,0.191,0.713
0.023,0.106,0.871
0.062,0.144,0.794
0.022,0.04,0.938
0.089,0.164,0.747
0.024,0.129,0.847
0.173,0.116,0.711
0.219,0.025,0.756
0.07,0.049,0.881
0.029,0.108,0.863
0.049,0.147,0.804
0.209,0.023,0.768
0.114,0.059,0.827
0.179,0.072,0.749
0.098,0.18,0.722
0.038,0.107,0.855
0.121,0.134,0.745
0.161,0.191,0.648
0.025,0.057,0.918
0.158,0.12,0.722
0.114,0.19,0.696
0.121,0.18,0.699
0.096,0.059,0.845
0.192,0.198,0.61
0.201,0.106,0.693
0.132,0.146,0.722
0.129,0.196,0.675
0.041,0.048,0.911
0.038,0.196,0.766
0.029,0.102,0.869
0.023,0.175,0.802
0.091,0.111,0.798
0.079,0.092,0.829
0.101,0.129,0.77
0.074,0.095,0.831
0.1,0.145,0.755
0.148,0.188,0.664
0.082,0.126,0.792
0.107,0.073,0.82
0.02,0.068,0.912
0.053,0.022,0.925
0.083,0.2,0.717
0.215,0.068,0.717
0.145,0.053,0.802
0.139,0.109,0.752
0.034,0.185,0.781
0.035,0.132,0.833
0.202,0.055,0.743
0.196,0.103,0.701
0.073,0.131,0.796
0.05,0.168,0.782
0.051,0.11,0.839
0.107,0.115,0.778
0.164,0.025,0.811
0.034,0.107,0.859
0.165,0.209,0.626
0.084,0.078,0.838
0.118,0.135,0.747
0.023,0.16,0.817
0.13,0.023,0.847
0.037,0.115,0.848
0.15,0.061,0.789
0.09,0.194,0.716
0.092,0.16,0.748
0.163,0.062,0.775
0.108,0.132,0.76
0.026,0.047,0.927
0.213,0.022,0.765
0.067,0.192,0.741
0.09,0.205,0.705
0.173,0.166,0.661
0.211,0.114,0.675
0.174,0.157,0.669
0.034,0.065,0.901
0.172,0.172,0.656
0.138,0.122,0.74
0.138,0.017,0.845
0.098,0.05,0.852
0.195,0.15,0.655
0.152,0.115,0.733
0.056,0.084,0.86
0.184,0.151,0.665
0.11,0.046,0.844
0.129,0.19,0.681
0.186,0.152,0.662
0.193,0.168,0.639
0.042,0.026,0.932
0.075,0.112,0.813
0.03,0.093,0.877
0.043,0.176,0.781
0.048,0.058,0.894
0.159,0.093,0.748
0.196,0.171,0.633
0.142,0.07,0.788
0.1,0.159,0.741
0.05,0.097,0.853
0.023,0.094,0.883
0.041,0.197,0.762
0.095,0.188,0.717
0.168,0.213,0.619
0.195,0.134,0.671
0.176,0.22,0.604
0.181,0.091,0.728
0.026,0.097,0.877
0.129,0.108,0.763
0.182,0.058,0.76
0.182,0.211,0.607
0.144,0.174,0.682
0.209,0.094,0.697
0.209,0.189,0.602
0.117,0.209,0.674
0.154,0.025,0.821
0.135,0.121,0.744
0.156,0.091,0.753
0.019,0.113,0.868
0.047,0.2,0.753
0.106,0.07,0.824
0.126,0.194,0.68
0.177,0.096,0.727
0.17,0.189,0.641
0.055,0.116,0.829
0.146,0.089,0.765
0.21,0.032,0.758
0.142,0.085,0.773
0.193,0.204,0.603
0.03,0.081,0.889
0.064,0.043,0.893
0.155,0.097,0.748
0.12,0.163,0.717
0.146,0.141,0.713
0.048,0.078,0.874
0.153,0.182,0.665
0.205,0.187,0.608
0.033,0.013,0.954
0.037,0.154,0.809
0.171,0.141,0.688
0.21,0.148,0.642
0.078,0.028,0.894
0.078,0.139,0.783
0.206,0.168,0.626
0.077,0.165,0.758
0.111,0.049,0.84
0.183,0.023,0.794
0.196,0.193,0.611
0.031,0.12,0.849
0.038,0.087,0.875
0.156,0.064,0.78
0.067,0.127,0.806
0.04,0.023,0.937
0.027,0.196,0.777
0.054,0.051,0.895
0.158,0.046,0.796
0.143,0.205,0.652
0.195,0.03,0.775
0.082,0.103,0.815
0.2,0.166,0.634
0.129,0.04,0.831
0.205,0.208,0.587
0.109,0.107,0.784
0.089,0.122,0.789
0.179,0.216,0.605
0.062,0.059,0.879
0.06,0.024,0.916
0.027,0.106,0.867
0.044,0.106,0.85
0.083,0.09,0.827
0.142,0.026,0.832
0.22,0.045,0.735
0.105,0.15,0.745
0.032,0.198,0.77
0.179,0.059,0.762
0.144,0.082,0.774
0.063,0.181,0.756
0.072,0.061,0.867
0.134,0.173,0.693
0.165,0.161,0.674
0.102,0.03,0.868
0.102,0.188,0.71
0.157,0.093,0.75
0.054,0.06,0.886
0.142,0.149,0.709
0.15,0.034,0.816
0.108,0.021,0.871
0.089,0.105,0.806
0.079,0.203,0.718
0.207,0.081,0.712
0.083,0.072,0.845
0.067,0.065,0.868
0.182,0.09,0.728
0.078,0.041,0.881
0.073,0.027,0.9
0.065,0.041,0.894
0.129,0.182,0.689
0.173,0.052,0.775
0.203,0.109,0.688
0.116,0.124,0.76
0.182,0.108,0.71
0.02,0.076,0.904
0.17,0.199,0.631
0.16,0.195,0.645
0.035,0.201,0.764
0.042,0.177,0.781
0.091,0.016,0.893
0.219,0.132,0.649
0.143,0.12,0.737
0.169,0.083,0.748
0.048,0.053,0.899
0.086,0.205,0.709
0.062,0.063,0.875
0.074,0.132,0.794
0.194,0.084,0.722
0.021,0.156,0.823
0.208,0.137,0.655
0.156,0.136,0.708
0.128,0.023,0.849
0.154,0.026,0.82
0.14,0.11,0.75
0.034,0.116,0.85
0.147,0.2,0.653
0.098,0.05,0.852
0.139,0.179,0.682
0.134,0.127,0.739
0.115,0.201,0.684
0.055,0.027,0.918
0.103,0.022,0.875
0.082,0.107,0.811
0.195,0.067,0.738
0.105,0.138,0.757
0.091,0.108,0.801
0.207,0.046,0.747
0.203,0.158,0.639
0.155,0.174,0.671
0.117,0.173,0.71
0.131,0.06,0.809
0.146,0.021,0.833
0.03,0.217,0.753
0.117,0.149,0.734
0.127,0.038,0.835
0.106,0.161,0.733
0.138,0.186,0.676
0.119,0.194,0.687
0.058,0.165,0.777
0.132,0.136,0.732
0.122,0.141,0.737
0.182,0.169,0.649
0.144,0.17,0.686
0.193,0.096,0.711
0.156,0.154,0.69
0.17,0.051,0.779
0.043,0.025,0.932
0.012,0.098,0.89
0.041,0.022,0.937
0.16,0.145,0.695
0.156,0.154,0.69
0.116,0.054,0.83
0.114,0.217,0.669
0.193,0.164,0.643
0.169,0.194,0.637
0.023,0.052,0.925
0.115,0.136,0.749
0.08,0.119,0.801
0.178,0.174,0.648
0.048,0.193,0.759
0.098,0.104,0.798
0.042,0.096,0.862
0.108,0.03,0.862
0.166,0.024,0.81
0.207,0.078,0.715
0.146,0.12,0.734
0.087,0.107,0.806
0.18,0.117,0.703
0.074,0.014,0.912
0.034,0.061,0.905
0.044,0.181,0.775
0.017,0.097,0.886
0.081,0.07,0.849
0.073,0.087,0.84
0.034,0.207,0.759
0.205,0.198,0.597
0.13,0.065,0.805
0.109,0.218,0.673
0.204,0.17,0.626
0.071,0.187,0.742
0.026,0.091,0.883
0.06,0.035,0.905
0.211,0.199,0.59
0.161,0.022,0.817
0.164,0.026,0.81
0.059,0.149,0.792
0.09,0.017,0.893
0.169,0.028,0.803
0.156,0.107,0.737
0.132,0.155,0.713
0.112,0.07,0.818
0.215,0.201,0.584
0.13,0.082,0.788
0.091,0.149,0.76
0.17,0.031,0.799
0.198,0.029,0.773
0.141,0.016,0.843
0.155,0.181,0.664
0.131,0.099,0.77
0.165,0.075,0.76
0.196,0.053,0.751
0.044,0.011,0.945
0.1,0.066,0.834
0.081,0.015,0.904
0.04,0.113,0.847
0.138,0.14,0.722
0.067,0.181,0.752
0.055,0.09,0.855
0.076,0.209,0.715
0.17,0.049,0.781
0.178,0.215,0.607
0.116,0.053,0.831
0.184,0.123,0.693
0.123,0.13,0.747
0.09,0.131,0.779
0.172,0.103,0.725
0.191,0.185,0.624
0.104,0.147,0.749
0.175,0.125,0.7
0.148,0.183,0.669
0.156,0.165,0.679
0.044,0.11,0.846
0.171,0.013,0.816
0.153,0.094,0.753
0.103,0.09,0.807
0.218,0.075,0.707
0.038,0.058,0.904
0.195,0.144,0.661
0.202,0.181,0.617
0.185,0.149,0.666
0.129,0.167,0.704
0.174,0.03,0.796
0.079,0.118,0.803
0.16,0.116,0.724
0.076,0.113,0.811
0.126,0.033,0.841
0.169,0.18,0.651
0.105,0.18,0.715
0.061,0.138,0.801
0.145,0.086,0.769
0.04,0.063,0.897
0.183,0.053,0.764
0.12,0.141,0.739
0.136,0.071,0.793
0.149,0.091,0.76
0.123,0.108,0.769
0.049,0.051,0.9
0.107,0.146,0.747
0.198,0.138,0.664
0.07,0.184,0.746
0.071,0.056,0.873
0.21,0.097,0.693
0.174,0.029,0.797
0.159,0.042,0.799
0.033,0.117,0.85
0.111,0.076,0.813
0.055,0.206,0.739
0.147,0.134,0.719
0.133,0.124,0.743
0.16,0.127,0.713
0.037,0.191,0.772
0.173,0.199,0.628
0.166,0.105,0.729
0.102,0.076,0.822
0.051,0.202,0.747
0.042,0.107,0.851
0.141,0.088,0.771
0.072,0.161,0.767
0.025,0.028,0.947
0.175,0.125,0.7
0.146,0.082,0.772
0.047,0.209,0.744
0.161,0.122,0.717
0.142,0.061,0.797
0.116,0.026,0.858
0.055,0.158,0.787
0.19,0.078,0.732
0.114,0.075,0.811
0.012,0.066,0.922
0.047,0.086,0.867
0.194,0.189,0.617
0.086,0.06,0.854
0.077,0.179,0.744
0.027,0.017,0.956
0.131,0.091,0.778
0.11,0.104,0.786
0.158,0.21,0.632
0.034,0.026,0.94
0.208,0.074,0.718
0.136,0.022,0.842
0.056,0.155,0.789
0.109,0.049,0.842
0.122,0.053,0.825
0.067,0.023,0.91
0.131,0.15,0.719
0.148,0.036,0.816
0.122,0.132,0.746
0.11,0.135,0.755
0.112,0.123,0.765
0.167,0.157,0.676
0.156,0.105,0.739
0.027,0.139,0.834
0.179,0.178,0.643
0.148,0.06,0.792
0.044,0.098,0.858
0.099,0.06,0.841
0.107,0.089,0.804
0.163,0.206,0.631
0.148,0.185,0.667
0.113,0.144,0.743
0.184,0.114,0.702
0.154,0.209,0.637
0.136,0.062,0.802
0.132,0.086,0.782
0.026,0.13,0.844
0.109,0.091,0.8
0.098,0.059,0.843
0.183,0.18,0.637
0.198,0.026,0.776
0.197,0.213,0.59
0.033,0.119,0.848
0.026,0.091,0.883
0.059,0.03,0.911
0.129,0.034,0.837
0.171,0.155,0.674
0.111,0.16,0.729
0.078,0.2,0.722
0.158,0.203,0.639
0.173,0.131,0.696
0.028,0.121,0.851
0.125,0.09,0.785
0.1,0.034,0.866
0.094,0.079,0.827
0.094,0.048,0.858
0.103,0.126,0.771
0.162,0.075,0.763
0.073,0.157,0.77
0.072,0.048,0.88
0.186,0.172,0.642
0.099,0.013,0.888
0.177,0.176,0.647
0.126,0.186,0.688
0.051,0.147,0.802
0.102,0.14,0.758
0.174,0.101,0.725
0.047,0.063,0.89
0.093,0.136,0.771
0.154,0.212,0.634
0.062,0.167,0.771
0.19,0.13,0.68
0.123,0.036,0.841
0.023,0.04,0.937
0.138,0.109,0.753
0.041,0.177,0.782
0.117,0.08,0.803
0.092,0.04,0.868
0.033,0.059,0.908
0.178,0.193,0.629
0.174,0.193,0.633
0.093,0.187,0.72
0.088,0.205,0.707
0.112,0.107,0.781
0.201,0.104,0.695
0.092,0.031,0.877
0.029,0.065,0.906
0.055,0.196,0.749
0.177,0.073,0.75
0.191,0.029,0.78
0.095,0.037,0.868
0.013,0.046,0.941
0.107,0.154,0.739
0.162,0.108,0.73
0.032,0.064,0.904
0.139,0.101,0.76
0.181,0.155,0.664
0.051,0.112,0.837
0.204,0.032,0.764
0.054,0.22,0.726
0.188,0.088,0.724
0.17,0.035,0.795
0.16,0.063,0.777
0.178,0.055,0.767
0.025,0.141,0.834
0.178,0.033,0.789
0.14,0.143,0.717
0.132,0.19,0.678
0.092,0.147,0.761
0.149,0.056,0.795
0.032,0.208,0.76
0.207,0.082,0.711
0.109,0.046,0.845
0.091,0.144,0.765
0.112,0.208,0.68
0.159,0.178,0.663
0.037,0.17,0.793
0.05,0.185,0.765
0.182,0.153,0.665
0.055,0.155,0.79
0.021,0.101,0.878
0.162,0.121,0.717
0.024,0.108,0.868
0.076,0.092,0.832
0.095,0.083,0.822
0.196,0.209,0.595
0.046,0.162,0.792
0.104,0.127,0.769
0.184,0.08,0.736
0.133,0.092,0.775
0.157,0.176,0.667
0.109,0.051,0.84
0.129,0.213,0.658
0.188,0.114,0.698
0.153,0.177,0.67
0.091,0.054,0.855
0.117,0.041,0.842
0.176,0.194,0.63
0.022,0.197,0.781
0.015,0.199,0.786
0.015,0.015,0.97
0.165,0.204,0.631
0.151,0.157,0.692
0.019,0.103,0.878
0.135,0.168,0.697
0.165,0.21,0.625
0.028,0.157,0.815
0.14,0.185,0.675
0.112,0.096,0.792
0.085,0.155,0.76
0.194,0.156,0.65
0.142,0.136,0.722
0.053,0.12,0.827
0.057,0.102,0.841
0.103,0.044,0.853
0.116,0.128,0.756
0.121,0.127,0.752
0.088,0.042,0.87
0.081,0.065,0.854
0.038,0.113,0.849
0.114,0.088,0.798
0.181,0.173,0.646
0.102,0.11,0.788
0.164,0.023,0.813
0.19,0.105,0.705
0.127,0.04,0.833
0.112,0.204,0.684
0.158,0.092,0.75
0.06,0.073,0.867
0.081,0.077,0.842
0.175,0.117,0.708
0.145,0.061,0.794
0.179,0.088,0.733
0.146,0.119,0.735
0.164,0.093,0.743
0.095,0.2,0.705
0.201,0.142,0.657
0.152,0.046,0.802
0.102,0.029,0.869
0.025,0.136,0.839
0.03,0.033,0.937
0.102,0.145,0.753
0.161,0.063,0.776
0.061,0.069,0.87
0.149,0.168,0.683
0.153,0.103,0.744
0.099,0.097,0.804
0.142,0.079,0.779
0.119,0.176,0.705
0.015,0.149,0.836
0.109,0.134,0.757
0.045,0.155,0.8
0.109,0.097,0.794
0.036,0.073,0.891
0.157,0.189,0.654
0.134,0.167,0.699
0.18,0.124,0.696
0.122,0.089,0.789
0.166,0.077,0.757
0.036,0.068,0.896
0.069,0.103,0.828
